Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Gianluca Caprari,Benevento,27,1993,20.7,5,47,15,31.9,2.27,0.72,0.11,0.33,20.7,7,0,1,4.2,3.4,0.07,+0.8,+1.6
Douglas Costa,Juventus,29,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mikkel Damsgaard,Sampdoria,20,2000,19.7,2,24,8,33.3,1.22,0.41,0.08,0.25,18.9,3,0,0,2.4,2.4,0.10,-0.4,-0.4
Brahim DÃ­az,Milan,20,1999,13.6,4,26,9,34.6,1.91,0.66,0.15,0.44,16.3,0,0,0,3.3,3.3,0.13,+0.7,+0.7
Elif Elmas,Napoli,20,1999,8.2,2,13,6,46.2,1.58,0.73,0.15,0.33,16.5,0,0,0,1.8,1.8,0.14,+0.2,+0.2
Valentin Eysseric,Fiorentina,28,1992,8.1,2,13,5,38.5,1.60,0.62,0.15,0.40,16.9,1,0,0,2.2,2.2,0.17,-0.2,-0.2
Iago Falque,Benevento,30,1990,4.0,1,11,1,9.1,2.77,0.25,0.09,1.00,20.6,0,0,0,0.3,0.3,0.03,+0.7,+0.7
Amer Gojak,Torino,23,1997,5.3,1,8,3,37.5,1.52,0.57,0.13,0.33,19.5,0,0,0,0.8,0.8,0.11,+0.2,+0.2
Roberto Insigne,Benevento,26,1994,17.8,2,38,12,31.6,2.14,0.68,0.05,0.17,16.0,0,0,0,3.5,3.5,0.10,-1.5,-1.5
Yayah Kallon,Genoa,19,2001,0.5,0,2,1,50.0,4.00,2.00,0.00,0.00,18.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Rade KruniÄ‡,Milan,26,1993,8.0,1,8,5,62.5,1.00,0.62,0.13,0.20,21.3,1,0,0,0.7,0.7,0.09,+0.3,+0.3
Juraj Kucka,Parma,33,1987,25.9,7,56,15,26.8,2.16,0.58,0.05,0.20,20.4,2,4,4,6.8,3.8,0.07,+0.2,-0.8
Dejan Kulusevski,Juventus,20,2000,21.4,4,34,7,20.6,1.59,0.33,0.12,0.57,15.0,0,0,0,2.9,2.9,0.09,+1.1,+1.1
KÃ©vin Malcuit,Napoli,29,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Junior Messias,Crotone,29,1991,35.7,9,98,32,32.7,2.74,0.90,0.09,0.28,21.2,9,0,0,7.5,7.5,0.08,+1.5,+1.5
Brain Oddei,Sassuolo,17,2002,0.5,0,2,1,50.0,4.00,2.00,0.00,0.00,16.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Adam Ounas,Cagliari,23,1996,3.4,0,6,0,0.0,1.75,0.00,0.00,,17.7,0,0,0,1.2,1.2,0.19,-1.2,-1.2
Mario PaÅ¡aliÄ‡,Atalanta,25,1995,12.5,6,19,12,63.2,1.52,0.96,0.32,0.50,12.9,0,0,0,4.5,4.5,0.24,+1.5,+1.5
Lorenzo Pellegrini,Roma,24,1996,28.9,7,70,26,37.1,2.42,0.90,0.09,0.23,19.5,10,1,1,6.4,5.7,0.08,+0.6,+0.3
Andreas Pereira,Lazio,24,1996,6.0,1,14,5,35.7,2.32,0.83,0.07,0.20,21.5,0,0,0,0.9,0.7,0.05,+0.1,+0.3
GastÃ³n Pereiro,Cagliari,25,1995,3.0,2,14,5,35.7,4.63,1.65,0.14,0.40,14.7,0,0,0,1.7,1.7,0.12,+0.3,+0.3
Roberto Pereyra,Udinese,29,1991,32.5,5,26,6,23.1,0.80,0.18,0.15,0.67,17.0,0,1,1,3.7,2.9,0.11,+1.3,+1.1
GastÃ³n RamÃ­rez,Sampdoria,29,1990,10.8,0,13,5,38.5,1.21,0.46,0.00,0.00,21.0,1,0,0,0.7,0.7,0.05,-0.7,-0.7
Luis Rojas,Crotone,18,2002,1.2,0,1,0,0.0,0.87,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.04,0.0,0.0
